,minerals,,
540,PbAu3Cu2Te2,,
541,FeFe2(SO4)4(H2O)22,,
542,Ba(UO2)6O4(OH)6(H2O)8,,
543,Ag7AsS6,,
544,Sb5Nb3WO18,,
545,NaMgFe5(PO4)4(OH)6(H2O)2,,
546,Pb2Sb2O7,,
547,(NH4)H2(PO4),,
548,Ce2Fe(Si2O7)(CO3),,
549,La2Fe(CO3)(Si2O7),,
550,Cd2Cu2(PO4)2(SO4)(H2O)5,,
551,Na2B5O8(OH)(H2O),,
552,(Na0.33Ca0.33K0.33)0.6(Mn0.5Mn0.5)2O4(H2O)1.5,,
553,Ca18(SiO3)8.5(CO3)8.5(SO4)(H2O)15,,
554,MgCl2(H2O)6,,
555,Bi2O3,,
556,BiOCl,,
557,Bi,,
558,Bi2S3,,
559,Bi2O2(CO3),,
560,BiNbO4,,
561,Fe2Bi(SiO4)2(OH),,
562,Ni9Bi2S8,,
563,(Bi0.33Fe0.33)2Sb2O7,,
564,BiTaO4,,
565,Ca3(SbSn)(AlO4)3,,
566,CaLiAl2(Si2BeAl)O10(OH)2,,
567,Fe2O3,,
568,Mn2O3,,
569,BaMn2Al2(PO4)3(OH)3,,
570,Fe2Te3O9.0,,
571,(UO2)(CO3)(H2O),,
572,Sb3Mn9Mn35(BO3)16O32,,
573,Ca2Cu5(Bi0.5Cu0.5)(PO4)4((H2O)0.33(OH)0.33Cl0.33)13,,
